Hotel,Preço,Checkin,Checkout,Dist_centro,Dist_praia
Value Suites Green Square,575.0,2024-05-21,2024-05-22,4.1,None
Kimpton Margot Sydney an IHG Hotel,1.236,2024-05-21,2024-05-22,0.5,None
Quest Macquarie Park,527.0,2024-05-21,2024-05-22,11.9,None
Adina Apartment Hotel Sydney Darling Harbour,946.0,2024-05-21,2024-05-22,0.7,None
Travelodge Hotel Hurstville Sydney,519.0,2024-05-21,2024-05-22,14.4,None
Hotel Bondi,595.0,2024-05-21,2024-05-22,6.5,Beira-mar
Vibe Hotel North Sydney,854.0,2024-05-21,2024-05-22,3.9,None
Mantra 2 Bond Street,1.153,2024-05-21,2024-05-22,0.7,None
Vibe Hotel Sydney Darling Harbour,1.068,2024-05-21,2024-05-22,0.7,None
Rendezvous Hotel Sydney The Rocks,979.0,2024-05-21,2024-05-22,1.2,None
Oaks Sydney Goldsbrough Suites,745.0,2024-05-21,2024-05-22,1.2,None
Regents Court Sydney,609.0,2024-05-21,2024-05-22,1.4,2.8 km da praia
Haven Glebe,786.0,2024-05-21,2024-05-22,2.4,None
Fraser Suites Sydney,1.054,2024-05-21,2024-05-22,0.6,None
Q Station,677.0,2024-05-21,2024-05-22,9.4,400
The Sebel Sydney Martin Place,1.321,2024-05-21,2024-05-22,300 m do centro,None
Spicers Potts Point,1.153,2024-05-21,2024-05-22,1.3,2.9 km da praia
Napoleon On Kent,701.0,2024-05-21,2024-05-22,0.8,None
West Hotel Sydney Curio Collection by Hilton,1.285,2024-05-21,2024-05-22,0.6,None
Ace Hotel Sydney,1.527,2024-05-21,2024-05-22,0.9,None
Penshurst Hotel,395.0,2024-05-21,2024-05-22,15.3,None
Meriton Suites Sussex Street Sydney,833.0,2024-05-21,2024-05-22,450 m do centro,None
Dalziel Lodge,422.0,2024-05-21,2024-05-22,4.3,None
Mercure Sydney Manly Warringah,611.0,2024-05-21,2024-05-22,13.7,2 km da praia
Holiday Inn & Suites Sydney Bondi Junction an IHG Hotel,643.0,2024-05-21,2024-05-22,4.2,2.3 km da praia
Mantra Hotel at Sydney Airport,609.0,2024-05-21,2024-05-22,7.2,None
Cremorne Point Manor,527.0,2024-05-21,2024-05-22,3.4,950
Sydney Potts Point Central Apartment Hotel Official,638.0,2024-05-21,2024-05-22,1.4,2.9 km da praia
Kith Hotel Darling Harbour,830.0,2024-05-21,2024-05-22,1.1,None
Metro Apartments On Darling Harbour,779.0,2024-05-21,2024-05-22,0.5,None
1 Private Double Bed with En-suite Bathroom in Sydney CBD near Train UTS DarlingHar&ICC&C hinatown - ROOM ONLY,487.0,2024-05-21,2024-05-22,1.5,None
Meridian Hotel Hurstville,401.0,2024-05-21,2024-05-22,14.4,None
The Old Clare Hotel Independent Collection by EVT,1.289,2024-05-21,2024-05-22,1.8,None
Mrs Banks Hotel,1.017,2024-05-21,2024-05-22,2.4,None
Veriu Green Square,697.0,2024-05-21,2024-05-22,4.1,None
Crown Towers Sydney,3.125,2024-05-21,2024-05-22,1.1,None
Holiday Inn Sydney Potts Point,1.173,2024-05-21,2024-05-22,1.3,None
Courtyard by Marriott Sydney-North Ryde,711.0,2024-05-21,2024-05-22,12.2,None
The Woolstore 1888,1.119,2024-05-21,2024-05-22,1.1,None
Royal Hotel Ryde,354.0,2024-05-21,2024-05-22,11.4,None
Mercure Sydney Macquarie Park,578.0,2024-05-21,2024-05-22,13.8,None
Airport Hotel Sydney,354.0,2024-05-21,2024-05-22,9.5,2.2 km da praia
Hotel Urban St Leonards,778.0,2024-05-21,2024-05-22,5.7,None
Vulcan Hotel Sydney,754.0,2024-05-21,2024-05-22,1.7,None
MetaWise Sydney CBD Luxury City view 2BED Apartment,1.105,2024-05-21,2024-05-22,300 m do centro,None
Four Seasons Hotel Sydney,1.411,2024-05-21,2024-05-22,1,None
Silkari Suites at Chatswood,804.0,2024-05-21,2024-05-22,8.7,None
Dunkirk Hotel Pyrmont,621.0,2024-05-21,2024-05-22,1.3,None
Quest Chatswood,721.0,2024-05-21,2024-05-22,8.4,None
The York by Swiss-Belhotel,1.245,2024-05-21,2024-05-22,0.7,None
The Urban Newtown,823.0,2024-05-21,2024-05-22,4.4,None
Meriton Suites Campbell Street Sydney,833.0,2024-05-21,2024-05-22,1,None
Quality Inn Sunshine Haberfield,575.0,2024-05-21,2024-05-22,7,None
Best Western Plus Camperdown Suites,804.0,2024-05-21,2024-05-22,3.3,None
Quest North Sydney,915.0,2024-05-21,2024-05-22,3.9,2.7 km da praia
Bayswater Boutique Lodge,569.0,2024-05-21,2024-05-22,1.7,2.8 km da praia
The Erko Hotel,524.0,2024-05-21,2024-05-22,4,None
Crowne Plaza Sydney Coogee Beach an IHG Hotel,949.0,2024-05-21,2024-05-22,7.2,Beira-mar
